,CPU time,Recall,FDR,Peak RAM,Ref Accuracy,Extracted Ref (M),Methods,snp,F1 score,Complexity
32,0.22,0.97,0.0,21.41,0.98,1.4,LocalHGT,0.02,0.99,
33,0.1,0.97,0.0,1.21,0.0,0.0,LEMON,0.02,0.99,
34,0.15,1.0,0.0,21.39,1.0,0.18,LocalHGT,0.02,1.0,
35,0.07,1.0,0.0,0.99,0.0,0.0,LEMON,0.02,1.0,
36,0.19,1.0,0.0,21.41,1.0,0.28,LocalHGT,0.02,1.0,
37,0.08,1.0,0.0,1.15,0.0,0.0,LEMON,0.02,1.0,
38,0.24,0.95,0.0,21.41,0.95,0.63,LocalHGT,0.02,0.97,
39,0.11,0.95,0.0,1.16,0.0,0.0,LEMON,0.02,0.97,
40,0.25,1.0,0.0,21.41,1.0,0.96,LocalHGT,0.03,1.0,
41,0.12,1.0,0.0,1.15,0.0,0.0,LEMON,0.03,1.0,
42,0.13,1.0,0.0,21.31,1.0,0.2,LocalHGT,0.03,1.0,
43,0.06,1.0,0.0,0.87,0.0,0.0,LEMON,0.03,1.0,
44,0.12,1.0,0.0,21.4,1.0,0.11,LocalHGT,0.03,1.0,
45,0.06,1.0,0.0,0.75,0.0,0.0,LEMON,0.03,1.0,
46,0.12,1.0,0.0,21.32,1.0,0.14,LocalHGT,0.03,1.0,
47,0.06,1.0,0.0,0.78,0.0,0.0,LEMON,0.03,1.0,
48,0.18,1.0,0.0,21.35,1.0,0.72,LocalHGT,0.03,1.0,
49,0.09,1.0,0.0,1.12,0.0,0.0,LEMON,0.03,1.0,
50,0.17,0.97,0.0,21.38,0.98,0.13,LocalHGT,0.03,0.99,
51,0.08,0.97,0.0,1.11,0.0,0.0,LEMON,0.03,0.99,
52,0.14,1.0,0.0,21.34,1.0,0.13,LocalHGT,0.03,1.0,
53,0.06,1.0,0.0,0.86,0.0,0.0,LEMON,0.03,1.0,
54,0.12,1.0,0.0,21.33,1.0,0.12,LocalHGT,0.03,1.0,
55,0.06,1.0,0.0,0.85,0.0,0.0,LEMON,0.03,1.0,
56,0.13,1.0,0.0,21.35,1.0,0.14,LocalHGT,0.03,1.0,
57,0.07,1.0,0.0,0.93,0.0,0.0,LEMON,0.03,1.0,
58,0.15,1.0,0.0,21.34,1.0,0.14,LocalHGT,0.03,1.0,
59,0.08,1.0,0.0,1.0,0.0,0.0,LEMON,0.03,1.0,
60,0.15,1.0,0.0,21.34,1.0,0.15,LocalHGT,0.04,1.0,
61,0.08,1.0,0.0,1.08,0.0,0.0,LEMON,0.04,1.0,
62,0.13,1.0,0.0,21.42,1.0,0.11,LocalHGT,0.04,1.0,
63,0.08,1.0,0.0,0.97,0.0,0.0,LEMON,0.04,1.0,
64,0.19,1.0,0.0,21.49,1.0,0.43,LocalHGT,0.04,1.0,
65,0.12,1.0,0.0,1.14,0.0,0.0,LEMON,0.04,1.0,
66,0.12,1.0,0.0,21.31,1.0,0.28,LocalHGT,0.04,1.0,
67,0.07,1.0,0.0,0.87,0.0,0.0,LEMON,0.04,1.0,
68,0.24,1.0,0.0,21.43,1.0,1.75,LocalHGT,0.04,1.0,
69,0.15,1.0,0.0,1.18,0.0,0.0,LEMON,0.04,1.0,
70,0.16,1.0,0.0,21.36,1.0,0.36,LocalHGT,0.04,1.0,
71,0.09,1.0,0.0,1.17,0.0,0.0,LEMON,0.04,1.0,
72,0.18,1.0,0.0,21.42,1.0,0.38,LocalHGT,0.04,1.0,
73,0.11,1.0,0.0,1.14,0.0,0.0,LEMON,0.04,1.0,
74,0.11,1.0,0.0,21.35,1.0,0.1,LocalHGT,0.04,1.0,
75,0.06,1.0,0.0,0.8,0.0,0.0,LEMON,0.04,1.0,
76,0.13,1.0,0.0,21.36,1.0,0.25,LocalHGT,0.04,1.0,
77,0.08,1.0,0.0,0.99,0.0,0.0,LEMON,0.04,1.0,
78,0.17,1.0,0.0,21.38,1.0,0.43,LocalHGT,0.04,1.0,
79,0.1,1.0,0.0,1.18,0.0,0.0,LEMON,0.04,1.0,
80,0.12,1.0,0.0,21.42,1.0,0.18,LocalHGT,0.05,1.0,
