,Property,Value,Group,Cohort,Level,Origin
5652,assortativity,0.476,control,ThomasAM_2018b,phylum,0.476
5653,transitivity,0.176,control,ThomasAM_2018b,phylum,0.176
5654,algebraic_connectivity,1.0,control,ThomasAM_2018b,phylum,1.0
5655,density,-0.715,control,ThomasAM_2018b,phylum,-0.715
5656,assortativity,0.667,CRC,ThomasAM_2018b,phylum,0.667
5657,transitivity,0.333,CRC,ThomasAM_2018b,phylum,0.333
5658,algebraic_connectivity,0.486,CRC,ThomasAM_2018b,phylum,0.486
5659,density,-0.181,CRC,ThomasAM_2018b,phylum,-0.181
5660,assortativity,1.0,CRC,ThomasAM_2018b,phylum,1.0
5661,transitivity,0.545,CRC,ThomasAM_2018b,phylum,0.545
5662,algebraic_connectivity,1.0,CRC,ThomasAM_2018b,phylum,1.0
5663,density,-0.415,CRC,ThomasAM_2018b,phylum,-0.415
5664,assortativity,0.667,CRC,ThomasAM_2018b,phylum,0.667
5665,transitivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5666,algebraic_connectivity,1.0,CRC,ThomasAM_2018b,phylum,1.0
5667,density,-0.476,CRC,ThomasAM_2018b,phylum,-0.476
5668,assortativity,0.476,CRC,ThomasAM_2018b,phylum,0.476
5669,transitivity,0.375,CRC,ThomasAM_2018b,phylum,0.375
5670,algebraic_connectivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5671,density,-0.261,CRC,ThomasAM_2018b,phylum,-0.261
5672,assortativity,0.476,CRC,ThomasAM_2018b,phylum,0.476
5673,transitivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5674,algebraic_connectivity,0.433,CRC,ThomasAM_2018b,phylum,0.433
5675,density,-0.093,CRC,ThomasAM_2018b,phylum,-0.093
5676,assortativity,0.476,CRC,ThomasAM_2018b,phylum,0.476
5677,transitivity,0.176,CRC,ThomasAM_2018b,phylum,0.176
5678,algebraic_connectivity,1.0,CRC,ThomasAM_2018b,phylum,1.0
5679,density,-0.64,CRC,ThomasAM_2018b,phylum,-0.64
5680,assortativity,0.476,CRC,ThomasAM_2018b,phylum,0.476
5681,transitivity,0.25,CRC,ThomasAM_2018b,phylum,0.25
5682,algebraic_connectivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5683,density,-0.482,CRC,ThomasAM_2018b,phylum,-0.482
5684,assortativity,0.667,CRC,ThomasAM_2018a,phylum,0.667
5685,transitivity,0.4,CRC,ThomasAM_2018a,phylum,0.4
5686,algebraic_connectivity,1.0,CRC,ThomasAM_2018a,phylum,1.0
5687,density,-0.538,CRC,ThomasAM_2018a,phylum,-0.538
5688,assortativity,0.476,adenoma,ThomasAM_2018a,phylum,0.476
5689,transitivity,0.214,adenoma,ThomasAM_2018a,phylum,0.214
5690,algebraic_connectivity,0.596,adenoma,ThomasAM_2018a,phylum,0.596
5691,density,-0.628,adenoma,ThomasAM_2018a,phylum,-0.628
5692,assortativity,0.667,adenoma,ThomasAM_2018a,phylum,0.667
5693,transitivity,0.4,adenoma,ThomasAM_2018a,phylum,0.4
5694,algebraic_connectivity,1.0,adenoma,ThomasAM_2018a,phylum,1.0
5695,density,-0.408,adenoma,ThomasAM_2018a,phylum,-0.408
5696,assortativity,0.476,control,ThomasAM_2018a,phylum,0.476
5697,transitivity,0.545,control,ThomasAM_2018a,phylum,0.545
5698,algebraic_connectivity,0.0,control,ThomasAM_2018a,phylum,0.0
5699,density,-0.335,control,ThomasAM_2018a,phylum,-0.335
5700,assortativity,0.278,CRC,ThomasAM_2018a,phylum,0.278
5701,transitivity,0.0,CRC,ThomasAM_2018a,phylum,0.0
