,CRC,control,Pvalue
271,0.2474747474747475,0.32887700534759357,0.012637747614012018
272,0.19444444444444445,0.2700534759358289,0.01293761771509483
273,0.13383838383838384,0.20053475935828877,0.013037392975137958
274,0.08080808080808081,0.13636363636363635,0.013043350729940246
275,0.08080808080808081,0.13636363636363635,0.013043350729940246
276,0.06818181818181818,0.12032085561497326,0.013073615891065721
277,0.025252525252525252,0.06149732620320856,0.013144767121252019
278,0.025252525252525252,0.06149732620320856,0.013144767121252019
279,0.5050505050505051,0.5935828877005348,0.013689864240175412
280,0.09848484848484848,0.15775401069518716,0.013720591637574081
281,0.1388888888888889,0.20588235294117646,0.01376197841983887
282,0.08333333333333333,0.13903743315508021,0.013764502207364915
283,0.020202020202020204,0.053475935828877004,0.013774296235653334
284,0.020202020202020204,0.053475935828877004,0.013774296235653334
285,0.020202020202020204,0.053475935828877004,0.013774296235653334
286,0.020202020202020204,0.053475935828877004,0.013774296235653334
287,0.04040404040404041,0.08288770053475936,0.01392744053437703
288,0.03282828282828283,0.07219251336898395,0.013971201400270172
289,0.03282828282828283,0.07219251336898395,0.013971201400270172
290,0.08838383838383838,0.1443850267379679,0.015211805911293196
291,0.027777777777777776,0.06417112299465241,0.015474203754967155
292,0.12626262626262627,0.18983957219251338,0.015480185163556303
293,0.15151515151515152,0.2192513368983957,0.015500385062797068
294,0.04292929292929293,0.0855614973262032,0.015512297110941488
295,0.06313131313131314,0.11229946524064172,0.01563010123419278
296,0.7045454545454546,0.7807486631016043,0.015850920456049192
297,0.09090909090909091,0.14705882352941177,0.015935687017537465
298,0.26262626262626265,0.3422459893048128,0.016177317616872713
299,0.13131313131313133,0.19518716577540107,0.016375552522703847
300,0.09343434343434344,0.1497326203208556,0.01665833036870694
301,0.045454545454545456,0.08823529411764706,0.01713311120545189
302,0.11363636363636363,0.17379679144385027,0.01719360662069761
303,0.017676767676767676,0.0481283422459893,0.017277927284486776
304,0.05555555555555555,0.10160427807486631,0.01728209354520795
305,0.05555555555555555,0.10160427807486631,0.01728209354520795
306,0.030303030303030304,0.06684491978609626,0.01790490199187538
307,0.12121212121212122,0.18181818181818182,0.018874994796533012
308,0.08585858585858586,0.13903743315508021,0.019301215400495605
309,0.2474747474747475,0.3235294117647059,0.019473539952256466
310,0.025252525252525252,0.058823529411764705,0.01975955979257103
311,0.06060606060606061,0.10695187165775401,0.01999235480166248
312,0.15404040404040403,0.2192513368983957,0.020130056201094378
313,0.08838383838383838,0.14171122994652408,0.02019088418987657
314,0.03282828282828283,0.06951871657754011,0.020415965169600047
315,0.4166666666666667,0.5,0.020432726624818154
316,0.12878787878787878,0.18983957219251338,0.020502920064308986
317,0.09090909090909091,0.1443850267379679,0.021076501267889024
318,0.07575757575757576,0.12566844919786097,0.0211368430991962
319,0.020202020202020204,0.05080213903743316,0.021158661935594278
320,0.06313131313131314,0.10962566844919786,0.021359064117729556
321,0.1111111111111111,0.16844919786096257,0.021610030643133778
322,0.05303030303030303,0.0962566844919786,0.022140776410031794
323,0.027777777777777776,0.06149732620320856,0.02294316508468142
324,0.027777777777777776,0.06149732620320856,0.02294316508468142
325,0.08080808080808081,0.13101604278074866,0.023340164845556448
326,0.4772727272727273,0.5588235294117647,0.023718894750017056
327,0.05555555555555555,0.09893048128342247,0.023837903214891338
328,0.08333333333333333,0.13368983957219252,0.02443448237426752
329,0.14898989898989898,0.21122994652406418,0.024518484492894083
330,0.1893939393939394,0.25668449197860965,0.024858089002430278
331,0.0707070707070707,0.11764705882352941,0.02546617548216922
332,0.0707070707070707,0.11764705882352941,0.02546617548216922
333,0.1994949494949495,0.26737967914438504,0.02593528581516111
334,0.16161616161616163,0.22459893048128343,0.026752373520114534
335,0.07323232323232323,0.12032085561497326,0.026828307320476454
336,0.06060606060606061,0.10427807486631016,0.0272430022380682
337,0.07575757575757576,0.12299465240641712,0.02818302102421523
338,0.23232323232323232,0.30213903743315507,0.028592665645277713
339,0.1414141414141414,0.20053475935828877,0.029222739324882025
340,0.6919191919191919,0.7620320855614974,0.029369602957374164
341,0.025252525252525252,0.05614973262032086,0.029402328368453187
342,0.14646464646464646,0.20588235294117646,0.0303489734726154
343,0.05303030303030303,0.09358288770053476,0.030467251358321425
344,0.05303030303030303,0.09358288770053476,0.030467251358321425
345,0.05303030303030303,0.09358288770053476,0.030467251358321425
346,0.1893939393939394,0.2540106951871658,0.03085263448529102
347,0.06565656565656566,0.03208556149732621,0.031736579987700714
348,0.020202020202020204,0.0481283422459893,0.03216861094367196
349,0.020202020202020204,0.0481283422459893,0.03216861094367196
350,0.05555555555555555,0.0962566844919786,0.032589006888406984
351,0.03535353535353535,0.06951871657754011,0.03289968280821957
352,0.1590909090909091,0.2192513368983957,0.03296750440957331
353,0.16161616161616163,0.22192513368983957,0.033456848826804456
354,0.027777777777777776,0.058823529411764705,0.03366644129636433
355,0.05808080808080808,0.09893048128342247,0.034701197635705394
356,0.047979797979797977,0.0855614973262032,0.03625193435323777
357,0.03787878787878788,0.07219251336898395,0.03627632201031036
358,0.03787878787878788,0.07219251336898395,0.03627632201031036
359,0.03787878787878788,0.07219251336898395,0.03627632201031036
360,0.03787878787878788,0.07219251336898395,0.03627632201031036
361,0.03787878787878788,0.07219251336898395,0.03627632201031036
362,0.30303030303030304,0.37433155080213903,0.036667744647259116
