,Property,Value,Group,Cohort,Level
202,Node,11.0,control,ZellerG_2014,phylum
203,Edge,22.0,control,ZellerG_2014,phylum
204,density,0.38181818181818183,CRC,ZellerG_2014,phylum
205,transitivity,0.3050847457627119,CRC,ZellerG_2014,phylum
206,algebraic_connectivity,0.7374049754559322,CRC,ZellerG_2014,phylum
207,assortativity,-0.5740927419354841,CRC,ZellerG_2014,phylum
208,Node,11.0,CRC,ZellerG_2014,phylum
209,Edge,21.0,CRC,ZellerG_2014,phylum
210,density,0.75,control,ZellerG_2014,phylum
211,transitivity,0.6263736263736264,control,ZellerG_2014,phylum
212,algebraic_connectivity,2.000000000000002,control,ZellerG_2014,phylum
213,assortativity,-0.4683251374023739,control,ZellerG_2014,phylum
214,Node,9.0,control,ZellerG_2014,phylum
215,Edge,27.0,control,ZellerG_2014,phylum
216,density,0.21904761904761905,control,ZellerG_2014,phylum
217,transitivity,0.19047619047619047,control,ZellerG_2014,phylum
218,algebraic_connectivity,0.0,control,ZellerG_2014,phylum
219,assortativity,-0.4702681694520011,control,ZellerG_2014,phylum
220,Node,15.0,control,ZellerG_2014,phylum
221,Edge,23.0,control,ZellerG_2014,phylum
222,density,0.6410256410256411,control,ZellerG_2014,phylum
223,transitivity,0.6836734693877551,control,ZellerG_2014,phylum
224,algebraic_connectivity,0.9837827046562129,control,ZellerG_2014,phylum
225,assortativity,-0.4246622679610831,control,ZellerG_2014,phylum
226,Node,13.0,control,ZellerG_2014,phylum
227,Edge,50.0,control,ZellerG_2014,phylum
228,density,0.30833333333333335,control,ZellerG_2014,phylum
229,transitivity,0.3605769230769231,control,ZellerG_2014,phylum
230,algebraic_connectivity,0.8841994649630408,control,ZellerG_2014,phylum
231,assortativity,-0.68165098975151,control,ZellerG_2014,phylum
232,Node,16.0,control,ZellerG_2014,phylum
233,Edge,37.0,control,ZellerG_2014,phylum
234,density,0.5277777777777778,control,ZellerG_2014,phylum
235,transitivity,0.39473684210526316,control,ZellerG_2014,phylum
236,algebraic_connectivity,0.7367326467226523,control,ZellerG_2014,phylum
237,assortativity,-0.42327650111193477,control,ZellerG_2014,phylum
238,Node,9.0,control,ZellerG_2014,phylum
239,Edge,19.0,control,ZellerG_2014,phylum
240,density,0.3238095238095238,CRC,ZellerG_2014,phylum
241,transitivity,0.35294117647058826,CRC,ZellerG_2014,phylum
242,algebraic_connectivity,0.39886647260361274,CRC,ZellerG_2014,phylum
243,assortativity,-0.3890406857057306,CRC,ZellerG_2014,phylum
244,Node,15.0,CRC,ZellerG_2014,phylum
245,Edge,34.0,CRC,ZellerG_2014,phylum
246,density,0.41818181818181815,CRC,ZellerG_2014,phylum
247,transitivity,0.3870967741935484,CRC,ZellerG_2014,phylum
248,algebraic_connectivity,0.6835480672974755,CRC,ZellerG_2014,phylum
249,assortativity,-0.46414584740040415,CRC,ZellerG_2014,phylum
250,Node,11.0,CRC,ZellerG_2014,phylum
251,Edge,23.0,CRC,ZellerG_2014,phylum
252,density,0.509090909090909,control,ZellerG_2014,phylum
253,transitivity,0.45714285714285713,control,ZellerG_2014,phylum
254,algebraic_connectivity,1.0000000000000049,control,ZellerG_2014,phylum
255,assortativity,-0.5229076017404657,control,ZellerG_2014,phylum
256,Node,11.0,control,ZellerG_2014,phylum
257,Edge,28.0,control,ZellerG_2014,phylum
258,density,0.37362637362637363,CRC,ZellerG_2014,phylum
259,transitivity,0.3684210526315789,CRC,ZellerG_2014,phylum
260,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum
261,assortativity,-0.38483027173452955,CRC,ZellerG_2014,phylum
262,Node,14.0,CRC,ZellerG_2014,phylum
263,Edge,34.0,CRC,ZellerG_2014,phylum
264,density,0.4666666666666667,control,ZellerG_2014,phylum
265,transitivity,0.4,control,ZellerG_2014,phylum
