,Bases,Group,Cohort
663,16782484254.0,control,ThomasAM_2018a
664,9638732712.0,CRC,ThomasAM_2018a
665,6264323571.0,CRC,ThomasAM_2018a
666,3637111009.0,CRC,ThomasAM_2018b
667,4101051285.0,CRC,ThomasAM_2018b
668,3117973069.0,CRC,ThomasAM_2018b
669,3645903179.0,control,ThomasAM_2018b
670,2336269953.0,CRC,ThomasAM_2018b
671,3613112582.0,control,ThomasAM_2018b
672,6471743852.0,CRC,ThomasAM_2018b
673,2727610389.0,control,ThomasAM_2018b
674,7310035386.0,control,ThomasAM_2018b
675,4398674622.0,control,ThomasAM_2018b
676,26692365132.0,control,ThomasAM_2018a
677,3342450892.0,control,ThomasAM_2018b
678,5906211662.0,CRC,ThomasAM_2018a
679,8243012850.0,control,ThomasAM_2018a
680,4788180713.0,control,ThomasAM_2018b
681,8808726504.0,CRC,ThomasAM_2018a
682,5159137714.0,CRC,ThomasAM_2018a
683,15838227946.0,control,ThomasAM_2018a
684,37358543174.0,control,ThomasAM_2018a
685,4974888498.0,CRC,ThomasAM_2018a
686,6265536349.0,CRC,ThomasAM_2018b
687,8455482154.0,control,ThomasAM_2018b
688,5573403305.0,CRC,ThomasAM_2018b
689,4733537457.0,CRC,ThomasAM_2018b
690,3158066958.0,CRC,ThomasAM_2018b
691,2448286377.0,CRC,ThomasAM_2018b
692,9200046372.0,control,ThomasAM_2018b
693,5954642751.0,CRC,ThomasAM_2018b
694,3342496938.0,CRC,ThomasAM_2018b
695,4548795487.0,control,ThomasAM_2018b
696,3534484981.0,CRC,ThomasAM_2018b
697,4591336105.0,CRC,ThomasAM_2018b
698,5476270020.0,CRC,ThomasAM_2018a
699,11318266372.0,control,ThomasAM_2018a
700,6932812452.0,control,ThomasAM_2018a
701,3151820262.0,CRC,ThomasAM_2018b
702,1034879683.0,control,ThomasAM_2018b
703,3806976294.0,control,ThomasAM_2018b
704,4205409821.0,CRC,ThomasAM_2018b
705,3148165940.0,CRC,ThomasAM_2018b
706,4096574082.0,CRC,ThomasAM_2018b
707,3210377101.0,CRC,ThomasAM_2018b
708,1306864665.0,CRC,ThomasAM_2018b
709,2982949375.0,CRC,ThomasAM_2018b
710,3483587316.0,CRC,ThomasAM_2018b
711,7785120980.0,CRC,ThomasAM_2018a
712,9208805594.0,CRC,ThomasAM_2018a
713,7902317024.0,CRC,ThomasAM_2018a
714,7555848636.0,control,ThomasAM_2018a
715,4602808946.0,control,ThomasAM_2018a
716,15258226958.0,CRC,ThomasAM_2018a
717,2355228152.0,control,ThomasAM_2018b
718,2766975730.0,control,ThomasAM_2018b
719,2383792100.0,control,ThomasAM_2018b
720,3010192567.0,control,ThomasAM_2018b
721,3774609997.0,control,ThomasAM_2018b
722,5705640120.0,control,ThomasAM_2018b
723,2593547633.0,control,ThomasAM_2018b
724,3511808501.0,control,ThomasAM_2018b
725,3891624174.0,control,ThomasAM_2018b
726,2493911666.0,control,ThomasAM_2018b
727,3893420532.0,CRC,ThomasAM_2018b
728,4859038231.0,CRC,ThomasAM_2018b
729,5988622295.0,CRC,ThomasAM_2018b
730,4468032703.0,CRC,ThomasAM_2018b
731,4979832567.0,CRC,ThomasAM_2018b
732,6077990175.0,CRC,ThomasAM_2018b
733,4346220764.0,CRC,ThomasAM_2018b
734,4347430447.0,CRC,ThomasAM_2018b
735,3600392404.0,CRC,ThomasAM_2018b
736,6153910114.0,control,ThomasAM_2018b
737,3644716602.0,control,ThomasAM_2018a
738,7397852902.0,CRC,ThomasAM_2018a
739,15626665916.0,control,ThomasAM_2018a
740,18935403182.0,CRC,ThomasAM_2018a
741,4644638366.0,control,ThomasAM_2018a
742,11861266938.0,control,ThomasAM_2018a
743,5141254888.0,control,ThomasAM_2018a
744,5376905682.0,control,ThomasAM_2018a
745,7519969732.0,CRC,ThomasAM_2018b
746,4072990715.0,control,ThomasAM_2018b
747,4055457779.0,control,ThomasAM_2018b
748,2190922951.0,control,ThomasAM_2018b
749,4354149935.0,control,ThomasAM_2018b
750,10646203801.0,control,ThomasAM_2018b
751,5862755402.0,CRC,ThomasAM_2018a
752,15817515118.0,control,ThomasAM_2018a
753,7733156120.0,control,ThomasAM_2018a
754,21819100572.0,control,ThomasAM_2018a
755,13612629160.0,CRC,ThomasAM_2018a
756,16969685870.0,CRC,ThomasAM_2018a
757,12203647560.0,CRC,ThomasAM_2018a
758,13276646416.0,CRC,ThomasAM_2018a
759,8617506418.0,CRC,ThomasAM_2018a
760,4516925822.0,control,ThomasAM_2018a
761,6857565286.0,CRC,ThomasAM_2018a
762,9035509454.0,CRC,ThomasAM_2018a
763,8282373224.0,CRC,ThomasAM_2018a
764,13191878458.0,control,ThomasAM_2018a
765,13091772784.0,CRC,ThomasAM_2018a
766,16627043626.0,control,ThomasAM_2018a
767,20599056332.0,control,ThomasAM_2018a
