,Bases,Group,Cohort
68,4925782891.0,CRC,ZellerG_2014
69,2054641330.0,CRC,ZellerG_2014
70,8528422674.0,CRC,ZellerG_2014
71,6259486032.0,CRC,ZellerG_2014
72,10842063366.0,CRC,ZellerG_2014
73,3209540648.0,CRC,ZellerG_2014
74,5241560072.0,control,ZellerG_2014
75,5705040835.0,control,ZellerG_2014
76,1992837785.0,control,ZellerG_2014
77,7966706877.0,control,ZellerG_2014
78,1128108433.0,control,ZellerG_2014
79,1369967696.0,CRC,ZellerG_2014
80,8220141004.0,CRC,ZellerG_2014
81,6260894901.0,control,ZellerG_2014
82,3848726385.0,CRC,ZellerG_2014
83,5138705109.0,control,ZellerG_2014
84,13684791942.0,CRC,ZellerG_2014
85,7783680878.0,CRC,ZellerG_2014
86,6619013691.0,control,ZellerG_2014
87,4966168603.0,CRC,ZellerG_2014
88,3056783044.0,control,ZellerG_2014
89,8078577899.0,control,ZellerG_2014
90,5713080966.0,control,ZellerG_2014
91,7809347444.0,CRC,ZellerG_2014
92,7855270798.0,CRC,ZellerG_2014
93,3180717679.0,control,ZellerG_2014
94,803852416.0,control,ZellerG_2014
95,6297114104.0,CRC,ZellerG_2014
96,2811757403.0,CRC,ZellerG_2014
97,4841564987.0,CRC,ZellerG_2014
98,4239137877.0,CRC,ZellerG_2014
99,3868143620.0,CRC,ZellerG_2014
100,2216475835.0,CRC,ZellerG_2014
101,7016009997.0,CRC,ZellerG_2014
102,5261700925.0,control,ZellerG_2014
103,6089304969.0,control,ZellerG_2014
104,5520171452.0,control,ZellerG_2014
105,8027807010.0,CRC,ZellerG_2014
106,1233826155.0,control,ZellerG_2014
107,3132363570.0,control,ZellerG_2014
108,5868133832.0,control,ZellerG_2014
109,4271802257.0,control,ZellerG_2014
110,5931273309.0,control,ZellerG_2014
111,3154490787.0,control,ZellerG_2014
112,3914532361.0,CRC,ZellerG_2014
113,5748965241.0,CRC,ZellerG_2014
114,8235608463.0,CRC,YachidaS_2019
115,6486706572.0,CRC,YachidaS_2019
116,8714631225.0,CRC,YachidaS_2019
117,9023711379.0,CRC,YachidaS_2019
118,11268958205.0,control,YachidaS_2019
119,2124339384.0,CRC,YachidaS_2019
120,5033451978.0,CRC,YachidaS_2019
121,6291025847.0,CRC,YachidaS_2019
122,2160696301.0,CRC,YachidaS_2019
123,10773756152.0,CRC,YachidaS_2019
124,8117330663.0,CRC,YachidaS_2019
125,8506158049.0,CRC,YachidaS_2019
126,7485815395.0,CRC,YachidaS_2019
127,11071213007.0,control,YachidaS_2019
128,4923550468.0,control,YachidaS_2019
129,3890370691.0,control,YachidaS_2019
130,6795738690.0,CRC,YachidaS_2019
131,5932336432.0,control,YachidaS_2019
132,14102828544.0,control,YachidaS_2019
133,4020310152.0,control,YachidaS_2019
134,4710443973.0,CRC,YachidaS_2019
135,6603287365.0,CRC,YachidaS_2019
136,5731747535.0,CRC,YachidaS_2019
137,6262276088.0,CRC,YachidaS_2019
138,6252293877.0,CRC,YachidaS_2019
139,7199905782.0,control,YachidaS_2019
140,5865243226.0,control,YachidaS_2019
141,5351408216.0,CRC,YachidaS_2019
142,5510583785.0,control,YachidaS_2019
143,4888766664.0,control,YachidaS_2019
144,4511745194.0,CRC,YachidaS_2019
145,5925622603.0,control,YachidaS_2019
146,6648229136.0,control,YachidaS_2019
147,4883791076.0,CRC,YachidaS_2019
148,5120578302.0,control,YachidaS_2019
149,6257013250.0,CRC,YachidaS_2019
150,6174743097.0,control,YachidaS_2019
151,10389944355.0,control,YachidaS_2019
152,4392262187.0,CRC,YachidaS_2019
153,5995084694.0,CRC,YachidaS_2019
154,5299259399.0,CRC,YachidaS_2019
155,5943253116.0,control,YachidaS_2019
156,5981611447.0,CRC,YachidaS_2019
157,3658139787.0,CRC,YachidaS_2019
158,6198285404.0,control,YachidaS_2019
159,6875666831.0,CRC,YachidaS_2019
160,6041888886.0,control,YachidaS_2019
161,6025260440.0,CRC,YachidaS_2019
162,5405697464.0,control,YachidaS_2019
163,4707908266.0,CRC,YachidaS_2019
164,6123261856.0,control,YachidaS_2019
165,8872142135.0,control,YachidaS_2019
166,4141675679.0,CRC,YachidaS_2019
167,6844558145.0,control,YachidaS_2019
168,5433741142.0,CRC,YachidaS_2019
169,6960096202.0,CRC,YachidaS_2019
170,6412035294.0,control,YachidaS_2019
171,8039395131.0,control,YachidaS_2019
172,6965158871.0,control,YachidaS_2019
173,9042731896.0,control,YachidaS_2019
174,5877007992.0,control,YachidaS_2019
175,5205593175.0,control,YachidaS_2019
176,7918737006.0,control,YachidaS_2019
177,7120548014.0,control,YachidaS_2019
178,6727471684.0,CRC,YachidaS_2019
179,6290180311.0,control,YachidaS_2019
180,7140034501.0,control,YachidaS_2019
181,7457652606.0,control,YachidaS_2019
182,6863461637.0,control,YachidaS_2019
183,6653889064.0,CRC,YachidaS_2019
184,5515213950.0,CRC,YachidaS_2019
185,7510078593.0,control,YachidaS_2019
186,7559306882.0,control,YachidaS_2019
