,Events,Cohort,Group,Bases
163,105,YachidaS_2019,CRC,4707908266.0
164,195,YachidaS_2019,control,6123261856.0
165,321,YachidaS_2019,control,8872142135.0
166,103,YachidaS_2019,CRC,4141675679.0
167,170,YachidaS_2019,control,6844558145.0
168,63,YachidaS_2019,CRC,5433741142.0
169,208,YachidaS_2019,CRC,6960096202.0
170,115,YachidaS_2019,control,6412035294.0
171,227,YachidaS_2019,control,8039395131.0
172,143,YachidaS_2019,control,6965158871.0
173,158,YachidaS_2019,control,9042731896.0
174,89,YachidaS_2019,control,5877007992.0
175,168,YachidaS_2019,control,5205593175.0
176,109,YachidaS_2019,control,7918737006.0
177,197,YachidaS_2019,control,7120548014.0
178,189,YachidaS_2019,CRC,6727471684.0
179,267,YachidaS_2019,control,6290180311.0
180,221,YachidaS_2019,control,7140034501.0
181,214,YachidaS_2019,control,7457652606.0
182,205,YachidaS_2019,control,6863461637.0
183,233,YachidaS_2019,CRC,6653889064.0
184,296,YachidaS_2019,CRC,5515213950.0
185,171,YachidaS_2019,control,7510078593.0
186,357,YachidaS_2019,control,7559306882.0
187,41,YachidaS_2019,CRC,6926623274.0
188,96,YachidaS_2019,control,6001676288.0
189,22,YachidaS_2019,control,4701732700.0
190,239,YachidaS_2019,CRC,4990905572.0
191,32,YachidaS_2019,CRC,8462198734.0
192,238,YachidaS_2019,CRC,3640483934.0
193,282,YuJ_2015,CRC,5782402056.0
194,408,YuJ_2015,CRC,4958196559.0
195,139,YuJ_2015,CRC,5674034861.0
196,381,YuJ_2015,CRC,5343486861.0
197,142,YuJ_2015,CRC,6090719237.0
198,280,YuJ_2015,CRC,4952005733.0
199,141,YuJ_2015,CRC,5958738352.0
200,138,YuJ_2015,CRC,5634395962.0
201,119,YuJ_2015,control,5802081901.0
202,421,YuJ_2015,CRC,5848388244.0
203,331,YuJ_2015,control,6128118370.0
204,158,YuJ_2015,CRC,6312390149.0
205,345,YuJ_2015,CRC,5750793357.0
206,191,YuJ_2015,CRC,5366059753.0
207,235,YuJ_2015,CRC,2820598675.0
208,663,YuJ_2015,CRC,5593003062.0
209,511,YuJ_2015,CRC,5352993848.0
210,201,YuJ_2015,CRC,4898058708.0
211,165,YuJ_2015,CRC,5167203436.0
212,59,YuJ_2015,CRC,5260734071.0
213,279,YuJ_2015,control,5434611996.0
