,Events,Cohort,Group,Bases
599,243,FengQ_2015,CRC,5196434410.0
600,211,FengQ_2015,CRC,5217458595.0
601,383,FengQ_2015,CRC,5697872810.0
602,388,FengQ_2015,CRC,5628840356.0
603,138,FengQ_2015,CRC,5406847458.0
604,241,FengQ_2015,CRC,5089989422.0
605,495,FengQ_2015,CRC,4631097845.0
606,147,FengQ_2015,CRC,5127516824.0
607,405,FengQ_2015,CRC,5838495526.0
608,315,FengQ_2015,CRC,6235486686.0
609,166,FengQ_2015,CRC,6833951794.0
610,333,FengQ_2015,control,3882990247.0
611,421,FengQ_2015,control,4075309012.0
612,328,FengQ_2015,control,4212719129.0
613,190,FengQ_2015,control,4114576752.0
614,365,FengQ_2015,control,4276565640.0
615,235,FengQ_2015,control,5327616448.0
616,343,FengQ_2015,control,5417863978.0
617,295,FengQ_2015,control,5093094520.0
618,211,FengQ_2015,control,4194580026.0
619,421,FengQ_2015,control,4755568751.0
620,222,FengQ_2015,control,3928814334.0
621,140,FengQ_2015,control,5413530573.0
622,336,FengQ_2015,control,3771008997.0
623,352,FengQ_2015,control,4525858474.0
624,193,FengQ_2015,control,5400290156.0
625,269,FengQ_2015,control,3858818427.0
626,974,FengQ_2015,control,4222207210.0
627,275,FengQ_2015,control,4127521919.0
628,338,FengQ_2015,control,3928554559.0
629,309,FengQ_2015,CRC,4799275613.0
630,234,FengQ_2015,control,6192238434.0
631,278,FengQ_2015,control,4531612102.0
632,164,FengQ_2015,control,5823514323.0
633,347,FengQ_2015,CRC,5471439051.0
634,128,FengQ_2015,CRC,4238158668.0
635,349,FengQ_2015,CRC,5330073760.0
636,155,FengQ_2015,CRC,5666299282.0
637,3,FengQ_2015,CRC,6932193747.0
638,259,FengQ_2015,CRC,4878408862.0
639,279,FengQ_2015,CRC,5394534000.0
640,373,FengQ_2015,CRC,5401200091.0
641,111,FengQ_2015,CRC,5997459345.0
642,184,FengQ_2015,CRC,4658201002.0
643,36,FengQ_2015,CRC,4370669263.0
644,315,FengQ_2015,control,5160814151.0
645,370,FengQ_2015,CRC,5059776250.0
646,32,FengQ_2015,control,4409439027.0
647,700,FengQ_2015,CRC,4709508874.0
648,499,FengQ_2015,CRC,6222651115.0
649,406,FengQ_2015,CRC,4032625247.0
650,354,FengQ_2015,control,5187301664.0
651,238,FengQ_2015,control,4754848864.0
652,233,FengQ_2015,control,3868696049.0
653,263,FengQ_2015,control,3348368467.0
654,159,FengQ_2015,control,4886998833.0
655,30,ThomasAM_2018a,CRC,6818636578.0
656,17,ThomasAM_2018a,control,6006120776.0
657,16,ThomasAM_2018a,CRC,4745232212.0
658,50,ThomasAM_2018a,CRC,10222753176.0
659,0,ThomasAM_2018a,CRC,13926989396.0
660,52,ThomasAM_2018a,control,7016890308.0
661,0,ThomasAM_2018a,CRC,19642180890.0
662,116,ThomasAM_2018a,CRC,7936914746.0
663,193,ThomasAM_2018a,control,16782484254.0
664,47,ThomasAM_2018a,CRC,9638732712.0
665,89,ThomasAM_2018a,CRC,6264323571.0
666,78,ThomasAM_2018b,CRC,3637111009.0
667,207,ThomasAM_2018b,CRC,4101051285.0
668,150,ThomasAM_2018b,CRC,3117973069.0
669,132,ThomasAM_2018b,control,3645903179.0
670,160,ThomasAM_2018b,CRC,2336269953.0
671,187,ThomasAM_2018b,control,3613112582.0
672,195,ThomasAM_2018b,CRC,6471743852.0
673,111,ThomasAM_2018b,control,2727610389.0
674,123,ThomasAM_2018b,control,7310035386.0
675,270,ThomasAM_2018b,control,4398674622.0
676,100,ThomasAM_2018a,control,26692365132.0
677,203,ThomasAM_2018b,control,3342450892.0
678,24,ThomasAM_2018a,CRC,5906211662.0
679,148,ThomasAM_2018a,control,8243012850.0
680,285,ThomasAM_2018b,control,4788180713.0
681,20,ThomasAM_2018a,CRC,8808726504.0
682,35,ThomasAM_2018a,CRC,5159137714.0
683,48,ThomasAM_2018a,control,15838227946.0
684,22,ThomasAM_2018a,control,37358543174.0
685,38,ThomasAM_2018a,CRC,4974888498.0
686,208,ThomasAM_2018b,CRC,6265536349.0
687,212,ThomasAM_2018b,control,8455482154.0
688,163,ThomasAM_2018b,CRC,5573403305.0
689,128,ThomasAM_2018b,CRC,4733537457.0
690,165,ThomasAM_2018b,CRC,3158066958.0
691,75,ThomasAM_2018b,CRC,2448286377.0
692,326,ThomasAM_2018b,control,9200046372.0
693,152,ThomasAM_2018b,CRC,5954642751.0
694,166,ThomasAM_2018b,CRC,3342496938.0
695,174,ThomasAM_2018b,control,4548795487.0
696,195,ThomasAM_2018b,CRC,3534484981.0
697,239,ThomasAM_2018b,CRC,4591336105.0
698,7,ThomasAM_2018a,CRC,5476270020.0
699,64,ThomasAM_2018a,control,11318266372.0
700,22,ThomasAM_2018a,control,6932812452.0
701,184,ThomasAM_2018b,CRC,3151820262.0
702,86,ThomasAM_2018b,control,1034879683.0
703,228,ThomasAM_2018b,control,3806976294.0
704,177,ThomasAM_2018b,CRC,4205409821.0
705,141,ThomasAM_2018b,CRC,3148165940.0
706,245,ThomasAM_2018b,CRC,4096574082.0
707,191,ThomasAM_2018b,CRC,3210377101.0
708,81,ThomasAM_2018b,CRC,1306864665.0
709,121,ThomasAM_2018b,CRC,2982949375.0
710,174,ThomasAM_2018b,CRC,3483587316.0
711,37,ThomasAM_2018a,CRC,7785120980.0
712,37,ThomasAM_2018a,CRC,9208805594.0
713,85,ThomasAM_2018a,CRC,7902317024.0
714,51,ThomasAM_2018a,control,7555848636.0
715,4,ThomasAM_2018a,control,4602808946.0
716,131,ThomasAM_2018a,CRC,15258226958.0
717,82,ThomasAM_2018b,control,2355228152.0
718,100,ThomasAM_2018b,control,2766975730.0
719,139,ThomasAM_2018b,control,2383792100.0
720,200,ThomasAM_2018b,control,3010192567.0
721,207,ThomasAM_2018b,control,3774609997.0
722,169,ThomasAM_2018b,control,5705640120.0
723,171,ThomasAM_2018b,control,2593547633.0
724,140,ThomasAM_2018b,control,3511808501.0
725,198,ThomasAM_2018b,control,3891624174.0
726,136,ThomasAM_2018b,control,2493911666.0
727,226,ThomasAM_2018b,CRC,3893420532.0
728,142,ThomasAM_2018b,CRC,4859038231.0
729,206,ThomasAM_2018b,CRC,5988622295.0
730,182,ThomasAM_2018b,CRC,4468032703.0
731,164,ThomasAM_2018b,CRC,4979832567.0
732,99,ThomasAM_2018b,CRC,6077990175.0
733,189,ThomasAM_2018b,CRC,4346220764.0
734,165,ThomasAM_2018b,CRC,4347430447.0
735,231,ThomasAM_2018b,CRC,3600392404.0
736,148,ThomasAM_2018b,control,6153910114.0
737,61,ThomasAM_2018a,control,3644716602.0
738,115,ThomasAM_2018a,CRC,7397852902.0
739,183,ThomasAM_2018a,control,15626665916.0
740,122,ThomasAM_2018a,CRC,18935403182.0
741,29,ThomasAM_2018a,control,4644638366.0
742,192,ThomasAM_2018a,control,11861266938.0
743,90,ThomasAM_2018a,control,5141254888.0
744,26,ThomasAM_2018a,control,5376905682.0
745,206,ThomasAM_2018b,CRC,7519969732.0
746,210,ThomasAM_2018b,control,4072990715.0
747,172,ThomasAM_2018b,control,4055457779.0
748,125,ThomasAM_2018b,control,2190922951.0
749,197,ThomasAM_2018b,control,4354149935.0
750,317,ThomasAM_2018b,control,10646203801.0
751,25,ThomasAM_2018a,CRC,5862755402.0
752,27,ThomasAM_2018a,control,15817515118.0
753,79,ThomasAM_2018a,control,7733156120.0
754,131,ThomasAM_2018a,control,21819100572.0
755,8,ThomasAM_2018a,CRC,13612629160.0
756,127,ThomasAM_2018a,CRC,16969685870.0
757,96,ThomasAM_2018a,CRC,12203647560.0
758,123,ThomasAM_2018a,CRC,13276646416.0
759,163,ThomasAM_2018a,CRC,8617506418.0
760,22,ThomasAM_2018a,control,4516925822.0
761,103,ThomasAM_2018a,CRC,6857565286.0
762,0,ThomasAM_2018a,CRC,9035509454.0
763,37,ThomasAM_2018a,CRC,8282373224.0
764,30,ThomasAM_2018a,control,13191878458.0
765,74,ThomasAM_2018a,CRC,13091772784.0
766,37,ThomasAM_2018a,control,16627043626.0
767,103,ThomasAM_2018a,control,20599056332.0
