,Frequency,Level
99,0.7868852459016393,phylum
100,0.8711864406779661,phylum
101,0.8567639257294429,phylum
102,0.8795811518324608,phylum
103,0.9351351351351351,phylum
104,0.8584070796460177,phylum
105,0.9364161849710982,phylum
106,0.7561643835616438,phylum
107,0.8665568369028006,phylum
108,0.8961593172119487,phylum
109,0.8722358722358723,phylum
110,0.9465020576131687,phylum
111,0.9084507042253521,phylum
112,0.8830935251798561,phylum
113,0.891941391941392,phylum
114,0.8849557522123894,phylum
115,0.8434343434343434,phylum
116,0.8453865336658354,phylum
117,0.8397435897435898,phylum
118,0.5071496663489037,phylum
119,0.9250936329588015,phylum
120,0.9172413793103448,phylum
121,0.9615384615384616,phylum
122,0.8819188191881919,phylum
123,0.8632478632478633,phylum
124,0.9523809523809523,phylum
125,0.8269230769230769,phylum
126,0.8443877551020408,phylum
127,0.8027397260273973,phylum
128,0.8495370370370371,phylum
129,0.940379403794038,phylum
130,0.8493449781659389,phylum
131,0.8465909090909091,phylum
132,0.9259259259259259,phylum
133,0.8839779005524862,phylum
134,0.8338762214983714,phylum
135,0.8880597014925373,phylum
136,0.8793969849246231,phylum
137,0.9411764705882353,phylum
138,0.9010416666666666,phylum
139,0.9033232628398792,phylum
140,0.8888888888888888,phylum
141,0.8768768768768769,phylum
142,0.8702702702702703,phylum
143,0.895010395010395,phylum
144,0.9524603836530442,phylum
145,0.9203539823008849,phylum
146,0.893644617380026,phylum
147,0.8627049180327869,phylum
148,0.8460543337645536,phylum
149,0.8972067039106145,phylum
150,0.9360780065005417,phylum
151,0.9101449275362319,phylum
152,0.9126315789473685,phylum
153,0.9245508982035928,phylum
154,0.8477508650519031,phylum
155,0.9190231362467867,phylum
156,0.9125910509885536,phylum
157,0.8674911660777385,phylum
158,0.9008152173913043,phylum
159,0.9102564102564102,phylum
160,0.8403263403263403,phylum
161,0.8665554628857381,phylum
162,0.9036827195467422,phylum
163,0.8725038402457758,phylum
164,0.9096098953377736,phylum
165,0.9168,phylum
166,0.8883415435139573,phylum
167,0.9068627450980392,phylum
168,0.9094488188976378,phylum
169,0.9052478134110787,phylum
170,0.9107373868046572,phylum
171,0.9030303030303031,phylum
172,0.9007765314926661,phylum
173,0.8260869565217391,phylum
174,0.9128559102674719,phylum
175,0.9098116947472745,phylum
176,0.8782178217821782,phylum
177,0.8707182320441988,phylum
178,0.9091653027823241,phylum
179,0.8588235294117647,phylum
180,0.9051155115511551,phylum
181,0.8169596690796277,phylum
182,0.9439655172413793,phylum
183,0.8663540445486518,phylum
184,0.8760907504363001,phylum
185,0.9243243243243243,phylum
186,0.9033333333333333,phylum
187,0.903277378097522,phylum
188,0.8982248520710059,phylum
189,0.8957115009746589,phylum
190,0.8470254957507082,phylum
191,0.8854916067146283,phylum
192,0.9020618556701031,phylum
193,0.8772455089820359,phylum
194,0.8841743119266054,phylum
195,0.7750865051903114,phylum
196,0.8822882288228823,phylum
197,0.8444444444444444,phylum
198,0.9056,phylum
199,0.8629807692307693,phylum
200,0.8482587064676617,phylum
201,0.908284023668639,phylum
202,0.8448023426061494,phylum
203,0.8627577319587629,phylum
204,0.9311827956989247,phylum
205,0.9347258485639687,phylum
206,0.918013856812933,phylum
207,0.9117063492063492,phylum
208,0.9221871713985279,phylum
209,0.9016129032258065,phylum
210,0.8857142857142857,phylum
211,0.9044697633654689,phylum
212,0.9057377049180327,phylum
213,0.8483685220729367,phylum
214,0.9238683127572016,phylum
215,0.9073724007561437,phylum
216,0.9147208121827411,phylum
217,0.9208333333333333,phylum
218,0.893491124260355,phylum
219,0.8844884488448845,phylum
220,0.9049881235154394,phylum
221,0.8698630136986302,phylum
222,0.8974854932301741,phylum
223,0.900497512437811,phylum
224,0.9022988505747126,phylum
225,0.883495145631068,phylum
226,0.8676923076923077,phylum
227,0.8466257668711656,phylum
228,0.8635014836795252,phylum
229,0.8448275862068966,phylum
230,0.8678500986193294,phylum
231,0.9023255813953488,phylum
232,0.8413098236775819,phylum
233,0.8450704225352113,phylum
234,0.8875739644970414,phylum
235,0.8966666666666666,phylum
236,0.8048780487804879,phylum
237,0.8103896103896104,phylum
238,0.8659217877094972,phylum
239,0.8181818181818182,phylum
240,0.8885941644562334,phylum
241,0.832807570977918,phylum
242,0.8661417322834646,phylum
243,0.8378995433789954,phylum
244,0.8517520215633423,phylum
245,0.8857938718662952,phylum
246,0.884272997032641,phylum
247,0.8564356435643564,phylum
248,0.8329297820823245,phylum
249,0.880085653104925,phylum
250,0.9147727272727273,phylum
251,0.9046610169491526,phylum
252,0.8867469879518072,phylum
253,0.8235294117647058,phylum
254,0.8989751098096632,phylum
255,0.8788819875776398,phylum
256,0.8802395209580839,phylum
257,0.9219653179190751,phylum
258,0.9046454767726161,phylum
259,0.9209138840070299,phylum
260,0.8769230769230769,phylum
261,0.8265524625267666,phylum
262,0.8807829181494662,phylum
263,0.936127744510978,phylum
264,0.9150943396226415,phylum
265,0.8422330097087378,phylum
266,0.875,phylum
267,0.8496042216358839,phylum
268,0.8846153846153846,phylum
269,0.8839285714285714,phylum
270,0.8909512761020881,phylum
271,0.8963414634146342,phylum
272,0.8860103626943006,phylum
273,0.8756906077348067,phylum
274,0.8665254237288136,phylum
275,0.9023569023569024,phylum
276,0.7624309392265194,phylum
277,0.8741092636579573,phylum
278,0.8769716088328076,phylum
279,0.9164556962025316,phylum
280,0.859375,phylum
281,0.864406779661017,phylum
282,0.9,phylum
283,0.9346733668341709,phylum
284,0.8897243107769424,phylum
285,0.8900804289544236,phylum
286,0.8877551020408163,phylum
287,0.8907363420427553,phylum
288,0.8647686832740213,phylum
289,0.8832116788321168,phylum
290,1.0,phylum
291,0.935672514619883,phylum
