,Microhomology,Group
492,2,HGT_Junction
493,2,Expected
494,1,HGT_Junction
495,0,Expected
496,1,HGT_Junction
497,0,Expected
498,4,HGT_Junction
499,1,Expected
500,0,HGT_Junction
501,0,Expected
502,3,HGT_Junction
503,1,Expected
504,0,HGT_Junction
505,1,Expected
506,11,HGT_Junction
507,3,Expected
508,0,HGT_Junction
509,0,Expected
510,1,HGT_Junction
511,0,Expected
512,18,HGT_Junction
513,0,Expected
514,4,HGT_Junction
515,4,Expected
516,1,HGT_Junction
517,2,Expected
518,1,HGT_Junction
519,0,Expected
520,3,HGT_Junction
521,0,Expected
522,2,HGT_Junction
523,0,Expected
524,20,HGT_Junction
525,0,Expected
526,6,HGT_Junction
527,1,Expected
528,0,HGT_Junction
529,2,Expected
530,1,HGT_Junction
531,1,Expected
532,19,HGT_Junction
533,0,Expected
534,0,HGT_Junction
535,0,Expected
536,1,HGT_Junction
537,0,Expected
538,6,HGT_Junction
539,0,Expected
540,5,HGT_Junction
541,1,Expected
542,2,HGT_Junction
543,1,Expected
544,0,HGT_Junction
545,5,Expected
546,15,HGT_Junction
547,5,Expected
548,0,HGT_Junction
549,1,Expected
550,6,HGT_Junction
551,0,Expected
552,4,HGT_Junction
553,5,Expected
554,4,HGT_Junction
555,0,Expected
556,2,HGT_Junction
557,0,Expected
558,0,HGT_Junction
559,1,Expected
560,7,HGT_Junction
561,2,Expected
562,0,HGT_Junction
563,0,Expected
564,15,HGT_Junction
565,3,Expected
566,2,HGT_Junction
567,0,Expected
568,3,HGT_Junction
569,1,Expected
570,4,HGT_Junction
571,2,Expected
572,18,HGT_Junction
573,3,Expected
574,0,HGT_Junction
575,0,Expected
576,1,HGT_Junction
577,0,Expected
578,0,HGT_Junction
579,0,Expected
580,0,HGT_Junction
581,1,Expected
582,2,HGT_Junction
583,0,Expected
584,0,HGT_Junction
585,0,Expected
586,5,HGT_Junction
587,1,Expected
588,0,HGT_Junction
589,0,Expected
590,1,HGT_Junction
591,0,Expected
592,5,HGT_Junction
593,1,Expected
594,2,HGT_Junction
595,1,Expected
596,5,HGT_Junction
597,1,Expected
598,0,HGT_Junction
599,1,Expected
600,5,HGT_Junction
601,4,Expected
602,1,HGT_Junction
603,0,Expected
604,1,HGT_Junction
605,2,Expected
606,10,HGT_Junction
607,4,Expected
608,2,HGT_Junction
609,0,Expected
610,0,HGT_Junction
611,2,Expected
612,1,HGT_Junction
613,0,Expected
614,1,HGT_Junction
615,4,Expected
616,1,HGT_Junction
617,1,Expected
618,1,HGT_Junction
619,0,Expected
620,2,HGT_Junction
621,1,Expected
622,4,HGT_Junction
623,1,Expected
624,0,HGT_Junction
625,0,Expected
626,1,HGT_Junction
627,17,Expected
628,20,HGT_Junction
629,0,Expected
630,7,HGT_Junction
631,0,Expected
632,0,HGT_Junction
633,0,Expected
634,1,HGT_Junction
635,0,Expected
636,1,HGT_Junction
637,1,Expected
638,2,HGT_Junction
639,0,Expected
640,3,HGT_Junction
641,0,Expected
642,0,HGT_Junction
643,1,Expected
644,2,HGT_Junction
645,5,Expected
646,1,HGT_Junction
647,7,Expected
648,0,HGT_Junction
649,3,Expected
650,10,HGT_Junction
651,0,Expected
652,4,HGT_Junction
653,1,Expected
654,1,HGT_Junction
655,0,Expected
656,5,HGT_Junction
657,3,Expected
658,1,HGT_Junction
659,3,Expected
660,1,HGT_Junction
661,1,Expected
662,1,HGT_Junction
663,0,Expected
664,5,HGT_Junction
665,3,Expected
666,1,HGT_Junction
667,2,Expected
668,6,HGT_Junction
669,1,Expected
670,4,HGT_Junction
671,0,Expected
672,0,HGT_Junction
673,0,Expected
674,0,HGT_Junction
675,0,Expected
676,0,HGT_Junction
677,0,Expected
678,1,HGT_Junction
679,1,Expected
680,2,HGT_Junction
681,4,Expected
682,2,HGT_Junction
683,1,Expected
684,0,HGT_Junction
685,8,Expected
686,5,HGT_Junction
687,5,Expected
688,1,HGT_Junction
689,1,Expected
690,7,HGT_Junction
691,0,Expected
692,18,HGT_Junction
693,0,Expected
694,2,HGT_Junction
695,1,Expected
696,1,HGT_Junction
697,2,Expected
698,1,HGT_Junction
699,0,Expected
700,0,HGT_Junction
701,1,Expected
702,5,HGT_Junction
703,1,Expected
704,1,HGT_Junction
705,0,Expected
706,1,HGT_Junction
707,4,Expected
708,5,HGT_Junction
709,1,Expected
710,14,HGT_Junction
711,2,Expected
712,0,HGT_Junction
713,2,Expected
714,0,HGT_Junction
715,1,Expected
716,20,HGT_Junction
717,0,Expected
718,13,HGT_Junction
719,0,Expected
720,0,HGT_Junction
721,6,Expected
722,0,HGT_Junction
723,3,Expected
724,2,HGT_Junction
725,0,Expected
726,0,HGT_Junction
727,1,Expected
728,0,HGT_Junction
729,0,Expected
730,2,HGT_Junction
731,2,Expected
732,1,HGT_Junction
733,0,Expected
734,0,HGT_Junction
735,1,Expected
736,6,HGT_Junction
737,1,Expected
738,0,HGT_Junction
739,1,Expected
740,20,HGT_Junction
741,1,Expected
742,4,HGT_Junction
743,0,Expected
744,11,HGT_Junction
745,0,Expected
746,2,HGT_Junction
747,1,Expected
748,0,HGT_Junction
749,2,Expected
750,0,HGT_Junction
751,0,Expected
752,1,HGT_Junction
753,0,Expected
754,0,HGT_Junction
755,0,Expected
756,1,HGT_Junction
757,0,Expected
758,10,HGT_Junction
759,7,Expected
760,2,HGT_Junction
761,0,Expected
762,0,HGT_Junction
763,0,Expected
764,0,HGT_Junction
765,4,Expected
766,18,HGT_Junction
767,4,Expected
768,0,HGT_Junction
769,7,Expected
770,19,HGT_Junction
771,1,Expected
772,0,HGT_Junction
773,0,Expected
774,9,HGT_Junction
775,1,Expected
776,1,HGT_Junction
777,0,Expected
778,3,HGT_Junction
779,5,Expected
780,0,HGT_Junction
781,0,Expected
782,1,HGT_Junction
783,1,Expected
784,1,HGT_Junction
785,2,Expected
786,0,HGT_Junction
787,0,Expected
788,1,HGT_Junction
789,1,Expected
790,0,HGT_Junction
791,0,Expected
792,4,HGT_Junction
793,4,Expected
794,5,HGT_Junction
795,0,Expected
796,2,HGT_Junction
797,1,Expected
798,2,HGT_Junction
799,1,Expected
800,8,HGT_Junction
801,0,Expected
802,0,HGT_Junction
803,5,Expected
804,3,HGT_Junction
805,0,Expected
806,3,HGT_Junction
807,1,Expected
808,11,HGT_Junction
809,1,Expected
810,1,HGT_Junction
811,2,Expected
812,5,HGT_Junction
813,1,Expected
814,14,HGT_Junction
815,0,Expected
816,1,HGT_Junction
817,0,Expected
818,9,HGT_Junction
819,1,Expected
820,0,HGT_Junction
821,2,Expected
822,0,HGT_Junction
823,2,Expected
824,1,HGT_Junction
825,2,Expected
826,1,HGT_Junction
827,0,Expected
828,9,HGT_Junction
829,0,Expected
830,0,HGT_Junction
831,4,Expected
832,18,HGT_Junction
833,1,Expected
834,0,HGT_Junction
835,0,Expected
836,0,HGT_Junction
837,13,Expected
838,18,HGT_Junction
839,1,Expected
840,9,HGT_Junction
841,1,Expected
842,1,HGT_Junction
843,0,Expected
844,0,HGT_Junction
845,1,Expected
846,2,HGT_Junction
847,0,Expected
848,1,HGT_Junction
849,1,Expected
850,6,HGT_Junction
851,7,Expected
852,0,HGT_Junction
853,0,Expected
854,9,HGT_Junction
855,5,Expected
856,0,HGT_Junction
857,1,Expected
858,0,HGT_Junction
859,0,Expected
860,2,HGT_Junction
861,0,Expected
862,1,HGT_Junction
863,0,Expected
864,0,HGT_Junction
865,0,Expected
866,4,HGT_Junction
867,3,Expected
868,1,HGT_Junction
869,4,Expected
870,4,HGT_Junction
871,1,Expected
872,1,HGT_Junction
873,1,Expected
874,7,HGT_Junction
875,0,Expected
876,1,HGT_Junction
877,0,Expected
878,1,HGT_Junction
879,7,Expected
880,5,HGT_Junction
881,0,Expected
882,0,HGT_Junction
883,1,Expected
884,5,HGT_Junction
885,13,Expected
886,0,HGT_Junction
887,0,Expected
888,2,HGT_Junction
889,1,Expected
890,1,HGT_Junction
891,5,Expected
892,4,HGT_Junction
893,1,Expected
894,0,HGT_Junction
895,1,Expected
896,2,HGT_Junction
897,2,Expected
898,1,HGT_Junction
899,5,Expected
900,1,HGT_Junction
901,1,Expected
902,0,HGT_Junction
903,1,Expected
904,0,HGT_Junction
905,4,Expected
906,2,HGT_Junction
907,0,Expected
908,0,HGT_Junction
909,4,Expected
910,0,HGT_Junction
911,0,Expected
912,13,HGT_Junction
913,2,Expected
914,0,HGT_Junction
915,1,Expected
916,3,HGT_Junction
917,2,Expected
918,0,HGT_Junction
919,2,Expected
920,1,HGT_Junction
921,0,Expected
922,1,HGT_Junction
923,1,Expected
924,4,HGT_Junction
925,0,Expected
926,1,HGT_Junction
927,1,Expected
928,1,HGT_Junction
929,4,Expected
930,5,HGT_Junction
931,2,Expected
932,5,HGT_Junction
933,2,Expected
934,0,HGT_Junction
935,1,Expected
936,7,HGT_Junction
937,4,Expected
938,0,HGT_Junction
939,1,Expected
940,0,HGT_Junction
941,0,Expected
942,13,HGT_Junction
943,1,Expected
944,4,HGT_Junction
945,0,Expected
946,20,HGT_Junction
947,2,Expected
948,0,HGT_Junction
949,1,Expected
950,1,HGT_Junction
951,0,Expected
952,20,HGT_Junction
953,0,Expected
954,2,HGT_Junction
955,1,Expected
956,2,HGT_Junction
957,0,Expected
958,4,HGT_Junction
959,1,Expected
960,0,HGT_Junction
