,Length,mm
788,1548,mm
789,1562,mm
790,1690,mm
791,1922,mm
792,2108,mm
793,58580,mm
794,2600,mm
795,1321,mm
796,1347,mm
797,1343,mm
798,1856,mm
799,1660,mm
800,1651,mm
801,1828,mm
802,2725,mm
803,1148,mm
804,6082,mm
805,3420,mm
806,1922,mm
807,9175,mm
808,108100,mm
809,869,mm
810,881,mm
811,46066,mm
812,1349,mm
813,1128,mm
814,1596,mm
815,1494,mm
816,820,mm
817,1122,mm
818,1604,mm
819,4304,mm
820,1567,mm
821,1566,mm
822,1552,mm
823,879,mm
824,665,mm
825,1660,mm
826,1352,mm
827,1245,mm
828,22299,mm
829,12644,mm
830,1445,mm
831,1868,mm
832,1720,mm
833,1674,mm
834,1866,mm
835,1570,mm
836,2870,mm
837,1112,mm
838,7449,mm
839,1687,mm
840,1390,mm
841,1744,mm
842,17799,mm
843,38454,mm
844,1650,mm
845,1549,mm
846,1725,mm
847,52390,mm
848,2730,mm
849,1076,mm
850,2426,mm
851,2434,mm
852,1816,mm
853,2440,mm
854,2435,mm
855,1047,mm
856,2434,mm
857,2434,mm
858,1537,mm
859,1235,mm
860,2824,mm
861,3109,mm
862,1357,mm
863,44598,mm
864,1357,mm
865,1105,mm
866,1225,mm
867,1225,mm
868,1226,mm
869,1257,mm
870,1256,mm
871,1886,mm
872,9050,mm
873,1730,mm
874,881,mm
875,1257,mm
876,1106,mm
877,1455,mm
878,1537,mm
879,2771,mm
880,2770,mm
881,1342,mm
882,1686,mm
883,1685,mm
884,1747,mm
885,1360,mm
886,1309,mm
887,2730,mm
888,2729,mm
889,1362,mm
890,2205,mm
891,1604,mm
892,1489,mm
893,1828,mm
894,9720,mm
895,621,mm
896,618,mm
897,615,mm
898,2206,mm
899,2200,mm
900,1600,mm
901,880,mm
902,894,mm
903,1555,mm
904,1559,mm
905,1551,mm
906,1555,mm
907,1559,mm
908,67820,mm
909,32720,mm
910,5178,mm
911,80810,mm
912,32719,mm
913,5866,mm
914,1794,mm
915,2683,mm
916,3076,mm
917,1331,mm
918,1374,mm
919,688,mm
920,2581,mm
921,2579,mm
922,1457,mm
923,2634,mm
924,1905,mm
925,1933,mm
926,1932,mm
927,2633,mm
928,926,mm
929,931,mm
930,1938,mm
931,872,mm
932,1302,mm
933,1309,mm
934,1312,mm
935,1308,mm
936,1312,mm
937,1313,mm
938,3431,mm
939,1732,mm
940,33286,mm
941,1796,mm
942,1730,mm
943,1732,mm
944,49800,mm
945,1727,mm
946,1727,mm
947,1343,mm
948,1607,mm
949,1372,mm
950,12883,mm
951,12873,mm
952,1079,mm
953,1301,mm
954,1693,mm
955,1036,mm
956,1085,mm
957,618,mm
958,623,mm
959,621,mm
960,1746,mm
961,881,mm
962,1512,mm
963,7463,mm
964,3439,mm
965,1657,mm
966,7658,mm
967,515944,mm
968,1639,mm
969,1343,mm
970,1652,mm
971,1265,mm
972,9553,mm
973,1296,mm
974,1639,mm
975,1088,mm
976,1594,mm
977,1522,mm
978,1595,mm
979,1077,mm
980,845,mm
981,1415,mm
982,1247,mm
983,1738,mm
984,1641,mm
985,1530,mm
986,1266,mm
987,1283,mm
988,1268,mm
989,1282,mm
990,1266,mm
991,1285,mm
992,1282,mm
993,1292,mm
994,45125,mm
995,18139,mm
996,1587,mm
997,1313,mm
998,1694,mm
999,1606,mm
1000,1596,mm
1001,868,mm
1002,2706,mm
1003,108098,mm
1004,2516,mm
1005,1661,mm
1006,888,mm
1007,2096,mm
1008,41140,mm
1009,551,mm
1010,1410,mm
1011,12189,mm
1012,28324,mm
1013,21959,mm
1014,1311,mm
1015,1192,mm
1016,1258,mm
1017,1560,mm
1018,1599,mm
1019,2154,mm
1020,1269,mm
1021,3129,mm
1022,51075,mm
1023,44631,mm
1024,1630,mm
1025,10221,mm
1026,706,mm
1027,709,mm
1028,1578,mm
1029,1147,mm
1030,4975,mm
1031,700,mm
1032,1193,mm
1033,2191,mm
1034,1054,mm
1035,1610,mm
1036,54785,mm
1037,609,mm
1038,1640,mm
1039,1174,mm
1040,536,mm
1041,1140,mm
1042,1320,mm
1043,1426,mm
1044,1595,mm
1045,1589,mm
1046,1589,mm
1047,1586,mm
1048,1587,mm
1049,1571,mm
1050,1588,mm
1051,1588,mm
1052,1600,mm
1053,679,mm
1054,47038,mm
1055,1319,mm
1056,1338,mm
1057,1320,mm
1058,2547,mm
1059,1099,mm
1060,2790,mm
1061,2803,mm
1062,1652,mm
1063,1573,mm
1064,2810,mm
1065,1529,mm
1066,1620,mm
1067,1385,mm
1068,49590,mm
1069,1712,mm
1070,672,mm
1071,654,mm
1072,3946,mm
1073,3950,mm
1074,35757,mm
1075,1247,mm
1076,885,mm
1077,2018,mm
1078,2694,mm
1079,1311,mm
1080,1565,mm
1081,13020,mm
1082,936,mm
1083,1761,mm
1084,1770,mm
1085,1848,mm
