,sample,frequency,mechanism
195,SRR18491265,0.75,NHEJ
196,SRR18491265,0.25,alt-EJ
197,SRR18491265,0.0,TEI
198,SRR18491266,0.7333333333333333,NHEJ
199,SRR18491266,0.26666666666666666,alt-EJ
200,SRR18491266,0.0,TEI
201,SRR18491267,0.9285714285714286,NHEJ
202,SRR18491267,0.07142857142857142,alt-EJ
203,SRR18491267,0.0,TEI
204,SRR18491268,0.7037037037037037,NHEJ
205,SRR18491268,0.2222222222222222,alt-EJ
206,SRR18491268,0.07407407407407407,TEI
207,SRR18491269,0.46153846153846156,NHEJ
208,SRR18491269,0.46153846153846156,alt-EJ
209,SRR18491269,0.07692307692307693,TEI
210,SRR18491270,0.6538461538461539,NHEJ
211,SRR18491270,0.3076923076923077,alt-EJ
212,SRR18491270,0.038461538461538464,TEI
213,SRR18491271,0.625,NHEJ
214,SRR18491271,0.375,alt-EJ
215,SRR18491271,0.0,TEI
216,SRR18491272,0.7916666666666666,NHEJ
217,SRR18491272,0.20833333333333334,alt-EJ
218,SRR18491272,0.0,TEI
219,SRR18491273,0.6470588235294118,NHEJ
220,SRR18491273,0.35294117647058826,alt-EJ
221,SRR18491273,0.0,TEI
222,SRR18491274,0.6153846153846154,NHEJ
223,SRR18491274,0.38461538461538464,alt-EJ
224,SRR18491274,0.0,TEI
225,SRR18491275,0.6666666666666666,NHEJ
226,SRR18491275,0.26666666666666666,alt-EJ
227,SRR18491275,0.06666666666666667,TEI
228,SRR18491276,1.0,NHEJ
229,SRR18491276,0.0,alt-EJ
230,SRR18491276,0.0,TEI
231,SRR18491277,0.6190476190476191,NHEJ
232,SRR18491277,0.23809523809523808,alt-EJ
233,SRR18491277,0.14285714285714285,TEI
234,SRR18491278,0.6923076923076923,NHEJ
235,SRR18491278,0.2692307692307692,alt-EJ
236,SRR18491278,0.038461538461538464,TEI
237,SRR18491279,0.6923076923076923,NHEJ
238,SRR18491279,0.2692307692307692,alt-EJ
239,SRR18491279,0.038461538461538464,TEI
240,SRR18491280,0.6428571428571429,NHEJ
241,SRR18491280,0.35714285714285715,alt-EJ
242,SRR18491280,0.0,TEI
243,SRR18491281,0.6333333333333333,NHEJ
244,SRR18491281,0.3,alt-EJ
245,SRR18491281,0.06666666666666667,TEI
246,SRR18491282,0.5909090909090909,NHEJ
247,SRR18491282,0.2727272727272727,alt-EJ
248,SRR18491282,0.13636363636363635,TEI
249,SRR18491283,0.75,NHEJ
250,SRR18491283,0.25,alt-EJ
251,SRR18491283,0.0,TEI
252,SRR18491284,0.4117647058823529,NHEJ
253,SRR18491284,0.5882352941176471,alt-EJ
254,SRR18491284,0.0,TEI
255,SRR18491285,0.5,NHEJ
256,SRR18491285,0.5,alt-EJ
257,SRR18491285,0.0,TEI
258,SRR18491286,0.7391304347826086,NHEJ
259,SRR18491286,0.2608695652173913,alt-EJ
260,SRR18491286,0.0,TEI
261,SRR18491287,0.5172413793103449,NHEJ
262,SRR18491287,0.4482758620689655,alt-EJ
263,SRR18491287,0.034482758620689655,TEI
264,SRR18491288,0.75,NHEJ
