	sample	HGT_count	level	group
603	304	168	1	CRC
604	301	143	1	control
605	305	168	1	CRC
606	306	168	1	CRC
607	302	143	1	control
608	307	168	1	CRC
609	308	168	1	CRC
610	303	143	1	control
611	304	143	1	control
612	309	168	1	CRC
613	310	168	1	CRC
614	311	168	1	CRC
615	305	143	1	control
616	312	168	1	CRC
617	313	168	1	CRC
618	314	168	1	CRC
619	306	143	1	control
620	315	168	1	CRC
621	316	168	1	CRC
622	307	143	1	control
623	308	143	1	control
624	309	143	1	control
625	317	168	1	CRC
626	310	143	1	control
627	311	143	1	control
628	318	168	1	CRC
629	319	168	1	CRC
630	320	168	1	CRC
631	312	143	1	control
632	313	143	1	control
633	314	143	1	control
634	315	143	1	control
635	321	168	1	CRC
636	322	168	1	CRC
637	316	144	1	control
638	323	168	1	CRC
639	324	168	1	CRC
640	325	168	1	CRC
641	317	144	1	control
642	318	144	1	control
643	319	144	1	control
644	326	168	1	CRC
645	320	144	1	control
646	327	168	1	CRC
647	328	168	1	CRC
648	329	168	1	CRC
649	330	168	1	CRC
650	321	144	1	control
651	322	144	1	control
652	331	168	1	CRC
653	332	168	1	CRC
654	323	145	1	control
655	324	145	1	control
656	325	145	1	control
657	326	145	1	control
658	333	168	1	CRC
659	334	168	1	CRC
660	335	169	1	CRC
661	327	146	1	control
662	336	169	1	CRC
663	328	146	1	control
664	337	169	1	CRC
665	338	169	1	CRC
666	329	146	1	control
667	330	146	1	control
668	331	146	1	control
669	332	146	1	control
670	339	169	1	CRC
671	340	169	1	CRC
672	341	169	1	CRC
673	342	169	1	CRC
674	333	146	1	control
675	343	169	1	CRC
676	334	146	1	control
677	335	146	1	control
678	344	169	1	CRC
679	345	169	1	CRC
680	346	169	1	CRC
681	347	169	1	CRC
682	348	169	1	CRC
683	336	146	1	control
684	349	169	1	CRC
685	337	146	1	control
686	350	169	1	CRC
687	351	169	1	CRC
688	352	169	1	CRC
689	353	169	1	CRC
690	354	169	1	CRC
691	355	169	1	CRC
692	338	146	1	control
693	356	169	1	CRC
694	339	146	1	control
695	340	146	1	control
696	341	146	1	control
697	342	146	1	control
698	357	169	1	CRC
699	343	146	1	control
700	358	170	1	CRC
701	344	146	1	control
702	359	170	1	CRC
703	345	146	1	control
704	360	170	1	CRC
705	361	170	1	CRC
706	346	146	1	control
707	362	170	1	CRC
708	347	146	1	control
709	363	170	1	CRC
710	348	146	1	control
711	364	170	1	CRC
712	349	146	1	control
713	365	170	1	CRC
714	350	146	1	control
715	366	170	1	CRC
716	351	146	1	control
717	352	146	1	control
718	353	146	1	control
719	354	146	1	control
720	355	146	1	control
721	367	170	1	CRC
722	368	171	1	CRC
723	369	171	1	CRC
724	370	171	1	CRC
725	371	171	1	CRC
726	372	171	1	CRC
727	356	146	1	control
728	357	146	1	control
729	373	171	1	CRC
730	358	146	1	control
731	374	171	1	CRC
732	375	171	1	CRC
733	376	171	1	CRC
734	359	146	1	control
735	360	146	1	control
736	361	146	1	control
737	377	171	1	CRC
738	378	171	1	CRC
739	362	146	1	control
740	363	146	1	control
741	379	171	1	CRC
742	380	171	1	CRC
743	381	171	1	CRC
744	364	146	1	control
745	382	171	1	CRC
746	383	171	1	CRC
747	384	171	1	CRC
748	365	146	1	control
749	366	146	1	control
750	385	171	1	CRC
751	367	146	1	control
752	368	146	1	control
753	386	171	1	CRC
754	369	146	1	control
755	387	172	1	CRC
756	388	172	1	CRC
757	370	146	1	control
758	389	172	1	CRC
759	390	172	1	CRC
760	371	146	1	control
761	391	172	1	CRC
762	392	172	1	CRC
763	372	146	1	control
764	393	172	1	CRC
765	373	146	1	control
766	374	146	1	control
767	394	172	1	CRC
768	395	172	1	CRC
769	396	172	1	CRC
770	1	37	2	control
771	2	59	2	control
772	1	77	2	CRC
773	2	81	2	CRC
774	3	66	2	control
775	3	88	2	CRC
776	4	69	2	control
777	5	72	2	control
778	6	80	2	control
779	4	106	2	CRC
780	5	119	2	CRC
781	6	122	2	CRC
782	7	140	2	CRC
783	7	81	2	control
784	8	142	2	CRC
785	9	143	2	CRC
786	8	81	2	control
787	9	88	2	control
788	10	145	2	CRC
789	11	146	2	CRC
790	12	146	2	CRC
791	13	146	2	CRC
792	14	146	2	CRC
793	10	88	2	control
794	15	146	2	CRC
795	16	146	2	CRC
796	17	146	2	CRC
797	18	146	2	CRC
798	11	88	2	control
799	19	150	2	CRC
800	20	151	2	CRC
801	12	90	2	control
802	21	151	2	CRC
803	22	151	2	CRC
804	13	90	2	control
805	23	151	2	CRC
806	24	159	2	CRC
807	14	91	2	control
808	25	159	2	CRC
809	26	168	2	CRC
810	27	168	2	CRC
811	15	95	2	control
812	28	168	2	CRC
813	29	168	2	CRC
814	16	98	2	control
815	30	168	2	CRC
816	31	168	2	CRC
817	17	99	2	control
818	18	99	2	control
819	19	100	2	control
820	32	169	2	CRC
821	33	169	2	CRC
822	20	100	2	control
823	34	170	2	CRC
824	35	172	2	CRC
825	36	172	2	CRC
826	21	101	2	control
827	37	173	2	CRC
828	38	173	2	CRC
829	39	175	2	CRC
830	40	175	2	CRC
831	22	103	2	control
832	41	175	2	CRC
833	42	175	2	CRC
834	43	175	2	CRC
835	23	103	2	control
836	24	109	2	control
837	25	110	2	control
838	44	175	2	CRC
839	26	110	2	control
840	45	177	2	CRC
841	46	177	2	CRC
842	47	178	2	CRC
843	48	178	2	CRC
844	49	178	2	CRC
845	27	111	2	control
846	50	178	2	CRC
847	51	178	2	CRC
848	52	178	2	CRC
849	28	111	2	control
850	29	112	2	control
851	53	182	2	CRC
852	54	182	2	CRC
853	55	182	2	CRC
854	30	112	2	control
855	56	182	2	CRC
856	57	182	2	CRC
857	31	112	2	control
858	58	182	2	CRC
859	59	182	2	CRC
860	60	183	2	CRC
861	61	183	2	CRC
862	32	113	2	control
863	62	183	2	CRC
864	33	113	2	control
865	63	183	2	CRC
866	34	113	2	control
867	64	183	2	CRC
868	35	115	2	control
869	65	183	2	CRC
870	36	115	2	control
871	37	117	2	control
872	38	117	2	control
873	39	117	2	control
874	40	124	2	control
875	66	183	2	CRC
876	41	125	2	control
877	42	126	2	control
878	43	129	2	control
879	44	130	2	control
880	67	183	2	CRC
881	68	190	2	CRC
882	45	130	2	control
883	69	190	2	CRC
884	46	130	2	control
885	70	190	2	CRC
886	47	131	2	control
887	48	131	2	control
888	49	133	2	control
889	71	190	2	CRC
890	50	133	2	control
891	51	133	2	control
892	52	139	2	control
893	53	143	2	control
894	54	143	2	control
895	72	190	2	CRC
896	55	145	2	control
897	73	190	2	CRC
898	74	190	2	CRC
