,Ratio,Group,cohort
211,0.1320754716981132,CRC,ZellerG_2014
212,0.09836065573770492,control,ZellerG_2014
213,0.03773584905660377,CRC,ZellerG_2014
214,0.13114754098360656,control,ZellerG_2014
215,0.018867924528301886,CRC,ZellerG_2014
216,0.06557377049180328,control,ZellerG_2014
217,0.0,CRC,ZellerG_2014
218,0.7377049180327869,control,ZellerG_2014
219,0.5283018867924528,CRC,ZellerG_2014
220,0.6721311475409836,control,ZellerG_2014
221,0.4528301886792453,CRC,ZellerG_2014
222,0.26229508196721313,control,ZellerG_2014
223,0.22641509433962265,CRC,ZellerG_2014
224,0.47540983606557374,control,ZellerG_2014
225,0.41509433962264153,CRC,ZellerG_2014
226,0.13114754098360656,control,ZellerG_2014
227,0.07547169811320754,CRC,ZellerG_2014
228,0.8852459016393442,control,ZellerG_2014
229,0.6415094339622641,CRC,ZellerG_2014
230,0.04918032786885246,control,ZellerG_2014
231,0.018867924528301886,CRC,ZellerG_2014
232,0.16393442622950818,control,ZellerG_2014
233,0.03773584905660377,CRC,ZellerG_2014
234,0.19672131147540983,control,ZellerG_2014
235,0.1509433962264151,CRC,ZellerG_2014
236,0.03278688524590164,control,ZellerG_2014
237,0.05660377358490566,CRC,ZellerG_2014
238,0.21311475409836064,control,ZellerG_2014
239,0.16981132075471697,CRC,ZellerG_2014
240,0.2459016393442623,control,ZellerG_2014
241,0.20754716981132076,CRC,ZellerG_2014
242,0.3114754098360656,control,ZellerG_2014
243,0.18867924528301888,CRC,ZellerG_2014
244,0.32786885245901637,control,ZellerG_2014
245,0.16981132075471697,CRC,ZellerG_2014
246,0.16393442622950818,control,ZellerG_2014
247,0.16981132075471697,CRC,ZellerG_2014
248,0.04918032786885246,control,ZellerG_2014
249,0.018867924528301886,CRC,ZellerG_2014
250,0.04918032786885246,control,ZellerG_2014
251,0.09433962264150944,CRC,ZellerG_2014
252,0.47540983606557374,control,ZellerG_2014
253,0.32075471698113206,CRC,ZellerG_2014
254,0.2786885245901639,control,ZellerG_2014
255,0.1320754716981132,CRC,ZellerG_2014
256,0.5081967213114754,control,ZellerG_2014
257,0.24528301886792453,CRC,ZellerG_2014
258,0.21311475409836064,control,ZellerG_2014
259,0.1509433962264151,CRC,ZellerG_2014
260,0.19672131147540983,control,ZellerG_2014
261,0.11320754716981132,CRC,ZellerG_2014
262,0.14754098360655737,control,ZellerG_2014
263,0.11320754716981132,CRC,ZellerG_2014
264,0.18032786885245902,control,ZellerG_2014
265,0.09433962264150944,CRC,ZellerG_2014
266,0.03278688524590164,control,ZellerG_2014
267,0.018867924528301886,CRC,ZellerG_2014
268,0.06557377049180328,control,ZellerG_2014
269,0.03773584905660377,CRC,ZellerG_2014
270,0.04918032786885246,control,ZellerG_2014
271,0.03773584905660377,CRC,ZellerG_2014
272,0.2459016393442623,control,ZellerG_2014
273,0.16981132075471697,CRC,ZellerG_2014
274,0.22950819672131148,control,ZellerG_2014
275,0.09433962264150944,CRC,ZellerG_2014
276,0.2459016393442623,control,ZellerG_2014
277,0.16981132075471697,CRC,ZellerG_2014
278,0.26229508196721313,control,ZellerG_2014
279,0.11320754716981132,CRC,ZellerG_2014
280,0.639344262295082,control,ZellerG_2014
281,0.37735849056603776,CRC,ZellerG_2014
282,0.08196721311475409,control,ZellerG_2014
283,0.03773584905660377,CRC,ZellerG_2014
284,0.06557377049180328,control,ZellerG_2014
285,0.11320754716981132,CRC,ZellerG_2014
286,0.39344262295081966,control,ZellerG_2014
287,0.33962264150943394,CRC,ZellerG_2014
288,0.39344262295081966,control,ZellerG_2014
289,0.2641509433962264,CRC,ZellerG_2014
290,0.6885245901639344,control,ZellerG_2014
291,0.4716981132075472,CRC,ZellerG_2014
292,0.3442622950819672,control,ZellerG_2014
293,0.1320754716981132,CRC,ZellerG_2014
294,0.2459016393442623,control,ZellerG_2014
295,0.1320754716981132,CRC,ZellerG_2014
